iter	MultiClass
0	30.35855706
1	662.9140574
2	1095.98087
3	1439.156686
4	1414.458058
5	1486.754574
6	1523.724402
7	1402.579055
8	1256.346818
9	1111.276052
10	1233.443022
11	1174.997408
12	1096.130683
13	1038.539556
14	1187.775011
15	1628.607188
16	1486.18293
17	1274.441923
18	1222.860991
19	1036.231952
20	797.1402375
21	1030.345231
22	899.5597318
23	761.1323695
24	875.8176011
25	931.0759883
26	933.600092
27	1120.512215
28	1306.405852
29	1267.844245
30	1244.666668
31	1230.162735
32	925.3498359
33	1060.870701
34	1156.001728
35	1080.913132
36	912.1328422
37	790.4021425
38	906.2805515
39	1152.204289
40	1120.273853
41	1017.76533
42	1020.973755
43	1125.013991
44	954.94077
45	923.87468
46	1090.151898
47	1000.585149
48	871.3400064
49	836.0060049
50	692.5854783
51	662.8626594
52	669.6164128
53	546.4016054
54	611.07522
55	1017.692844
56	1169.437392
57	1211.79339
58	1165.263064
59	1206.873236
60	1026.284954
61	1158.977131
62	1180.509769
63	1022.519932
64	944.7192011
65	1090.233644
66	1176.563448
67	1313.323151
68	1366.118784
69	1205.05549
70	1019.536178
71	890.081393
72	736.6913715
73	946.1248992
74	1258.259044
75	1136.402444
76	1154.434416
77	974.3920342
78	862.0611529
79	874.0730601
80	778.3680796
81	704.1830809
82	1082.206452
83	921.3268328
84	899.8946113
85	789.1260291
86	779.7433589
87	833.8376054
88	770.0375098
89	812.9109673
90	750.5020472
91	750.5106931
92	784.6473817
93	738.5115966
94	639.4014755
95	485.2447096
96	836.5033416
97	829.8030908
98	787.6995789
99	752.3757528
