iter	Passed	Remaining
0	922	91307
1	1719	84231
2	2673	86440
3	3516	84396
4	5615	106688
5	6538	102442
6	7332	97415
7	8239	94752
8	10297	104117
9	11474	103269
10	12472	100916
11	13529	99217
12	15607	104451
13	16453	101069
14	17455	98911
15	18349	96335
16	20576	100463
17	21898	99758
18	22857	97446
19	24012	96049
20	25933	97558
21	27147	96250
22	28223	94488
23	29351	92946
24	31327	93982
25	32269	91844
26	33289	90005
27	35431	91110
28	36727	89918
29	37789	88175
30	38948	86691
31	40287	85610
32	41320	83893
33	42445	82394
34	43505	80795
35	44453	79028
36	45948	78236
37	47193	76999
38	48416	75727
39	49402	74104
40	50598	72812
41	51970	71768
42	54162	71796
43	55378	70481
44	56544	69110
45	57733	67773
46	58889	66407
47	60284	65308
48	61306	63809
49	62636	62636
50	63911	61404
51	65038	60035
52	66401	58884
53	67507	57506
54	68818	56306
55	69954	54964
56	71027	53582
57	72095	52207
58	73173	50849
59	74333	49555
60	75491	48265
61	76594	46944
62	77701	45634
63	78867	44362
64	80131	43147
65	81390	41928
66	82624	40695
67	83680	39379
68	84775	38087
69	85868	36800
70	87157	35599
71	88226	34310
72	89384	33059
73	90806	31904
74	92017	30672
75	93188	29428
76	94292	28165
77	95582	26959
78	97330	25872
79	98745	24686
80	99872	23426
81	101142	22202
82	102291	20951
83	103471	19708
84	104728	18481
85	105813	17225
86	107032	15993
87	108328	14772
88	109700	13558
89	110894	12321
90	112116	11088
91	113277	9850
92	114560	8622
93	115978	7402
94	117056	6160
95	118360	4931
96	119800	3705
97	121251	2474
98	122491	1237
99	123781	0
